Edge_ID,From_Node,From_Node_Name,To_Node,To_Node_Name,Mode,country,Distance,Cost_c1,Cost_c2,Time,Carbon,Capacity
E140,N25,巴库,N26,伊斯坦布尔,1,,2190,0,14,24.3,0.00151,100000
E141,N24,德黑兰,N26,伊斯坦布尔,1,,2429,0,14,27,0.00151,100000
E142,N25,巴库,G7,加尔达巴尼（格）-别尤克-基亚西克（阿塞）,3,独联体,500,0,4.76,11.9,0.000902,100000
E143,G7,加尔达巴尼（格）-别尤克-基亚西克（阿塞）,N26,伊斯坦布尔,3,非独联体,2027.6,0,4.9,48.3,0.000902,100000
E144,N24,德黑兰,N27,凡城,3,非独联体,1074,0,4.9,25.6,0.000902,100000
E145,N27,凡城,N28,塔特万,4,非国内,92,0,1.005,3.7,0.000275,100000
E146,N28,塔特万,N26,伊斯坦布尔,3,非独联体,1662,0,4.9,39.6,0.000902,100000
E147,N21,莫斯科,N29,柏林,1,,1827,0,14,20.3,0.00151,100000
E148,N26,伊斯坦布尔,N29,柏林,1,,2203,0,14,24.5,0.00151,100000
E149,N21,莫斯科,G8,克拉斯诺耶（俄）-奥辛诺夫（白）,3,俄罗斯,493.6,0,3.4,11.8,0.000902,100000
E150,G8,克拉斯诺耶（俄）-奥辛诺夫（白）,G9,布列斯特（白）-马拉舍维奇（欧）,3,独联体,611.3,0,4.76,14.6,0.000902,100000
E151,G9,布列斯特（白）-马拉舍维奇（欧）,N29,柏林,3,欧洲,762,0,0,18.1,0.000902,100000
E152,N26,伊斯坦布尔,G10,卡皮库勒（土）-斯维伦格勒（欧）,3,,299.6,0,0,7.1,0.000902,100000
E153,G10,卡皮库勒（土）-斯维伦格勒（欧）,N29,柏林,3,,1985.4,0,0,47.3,0.000902,100000
E154,N7,大连,N30,新加坡,3,,4850,0,0,115.5,0.000902,100000
E155,N8,青岛,N30,新加坡,3,,4561,0,0,108.6,0.000902,100000
E156,N9,上海,N30,新加坡,3,,4142,0,0,98.6,0.000902,100000
E157,N10,深圳,N30,新加坡,3,,2857,0,0,68,0.000902,100000
E158,N30,新加坡,N31,鹿特丹,3,,15349,0,0,365.5,0.000902,100000
E159,N30,新加坡,N32,汉堡,3,,15817,0,0,376.6,0.000902,100000
E160,N33,合肥,N1,沈阳,1,,1586,0,14,17.6,0.00151,100000
E161,N33,合肥,N2,郑州,1,,568,0,14,6.3,0.00151,100000
E162,N33,合肥,N3,西安,1,,925,0,14,10.3,0.00151,100000
E163,N33,合肥,N4,成都,1,,1509,0,14,16.8,0.00151,100000
E164,N33,合肥,N5,重庆,1,,1236,0,14,13.7,0.00151,100000
E165,N33,合肥,N6,武汉,1,,380,0,14,4.2,0.00151,100000
E166,N33,合肥,N7,大连,1,,1067,0,14,11.9,0.00151,100000
E167,N33,合肥,N8,青岛,1,,719,0,14,8,0.00151,100000
E168,N33,合肥,N9,上海,1,,476,0,14,5.3,0.00151,100000
E169,N33,合肥,N10,深圳,1,,1253,0,14,13.9,0.00151,100000
E170,N33,合肥,N1,沈阳,2,国内铁路,1540,532,3.357,23.3,0.000902,100000
E171,N33,合肥,N2,郑州,2,国内铁路,544,532,3.357,8.2,0.000902,100000
E172,N33,合肥,N3,西安,2,国内铁路,974,532,3.357,14.8,0.000902,100000
E173,N33,合肥,N4,成都,2,国内铁路,1497,532,3.357,22.7,0.000902,100000
E174,N33,合肥,N5,重庆,2,国内铁路,1219,532,3.357,18.5,0.000902,100000
E175,N33,合肥,N6,武汉,2,国内铁路,358,532,3.357,5.4,0.000902,100000
E176,N33,合肥,N7,大连,2,国内铁路,1721,532,3.357,26.1,0.000902,100000
E177,N33,合肥,N8,青岛,2,国内铁路,694,532,3.357,10.5,0.000902,100000
E178,N33,合肥,N9,上海,2,国内铁路,477,532,3.357,7.2,0.000902,100000
E179,N33,合肥,N10,深圳,2,国内铁路,1369,532,3.357,20.7,0.000902,100000
E180,N31,鹿特丹,N29,柏林,1,,691,0,14,7.7,0.00151,100000
E181,N32,汉堡,N29,柏林,1,,289,0,14,3.2,0.00151,100000
E182,N31,鹿特丹,N29,柏林,2,欧洲铁路,669.3,0,7,15.9,0.000902,100000
E183,N32,汉堡,N29,柏林,2,欧洲铁路,286,0,7,6.8,0.000902,100000
